user_message,expected_message,generated_message
"B1: Zastoji Proti Primorski do Vrhnike: - Od Šentvida na gorenjski avtocesti mimo Kosez in Brda na ljubljanski zahodni obvoznici. Občasno zapirajo predor Šentvid. - Od priključka Ljubljana jug na ljubljanski južni obvoznici mimo Viča proti Primorski. Na podravski avtocesti pred mejnim prehodom Gruškovje proti Hrvaški, 2 km. Na gorenjski avtocesti pred predorom Karavanke proti Avstriji, 2 kilometra. Proti Sloveniji 1 kilometer.. Na cestah Vič - Brezovica, Starod - MP Starod, Šmarje - Dragonja in Izola - Portorož. Mejni prehodi Čakalna doba: Sečovlje, Dragonja, Starod, Jelšane, Vinica, Obrežje in Gruškovje. Opozorila Ponekod po državi nastajajo lokalne nevihte na takšnih območjih prilagodite hitrost in varnostno razdaljo in obvezno prižgite luči. Dnevne luči v primeru poslabšanja vremena niso dovolj, saj vozilo zadaj ni osvetljeno. Delo na cesti Začela so se pripravljalna dela za obnovo severne ljubljanske obvoznice med Zadobrovo in Tomačevim. Dela bodo potekala v več fazah. Cesta Novo mesto - Metlika je v Novem mestu, med mostom čez Krko in križiščem s Kandijsko cesto, zaprta do 9. avgusta.","Daljši zastoj je na celotni zahodni ljubljanski obvoznici proti Primorski od predora Šentvid proti Vrhniki. Predor Šentvid občasno zapirajo.
Zastoj je tudi na celotni južni obvoznici proti Primorski od razcepa Malence proti Vrhniki. Promet dodatno ovira prometna nesreča, zaradi katere je zaprt prehitevalni pas pri priključku Rudnik. Potovalni čas se v obeh primerih podaljša za približno 45 minut. Daljši zastoji so tudi na vzporedni regionalni cesti Ljubljana-Vrhnika, kjer promet zaradi del na štirih mestih poteka izmenično enosmerno. Zaradi zastoja na avstrijski strani predora Karavanke občasno zapirajo predor proti Sloveniji. Na mejnih prehodih Gruškovje in Starod vozniki osebnih vozil na izstop iz države čakajo do dve uri, v Jelšanah, Petrini, Vinici in Dragonji pa do pol ure. Na vstop v državo vozniki na Dragonji čakajo do dve uri, v Sečovljah in Vinici do 1 uro, v Jelšanah in Sočergi pa do pol ure.","Na primorski avtocesti proti Ljubljani je zaradi del zaprt prehitevalni pas med priključkoma Brezovica in Vrhnika. Nastal je krajši zastoj. Na mejnem prehodu Gruškovje vozniki tovornih vozil na vstop v državo čakajo 1 uro, na Obrežju pa 30 minut."
"B1: Nesreče Na štajerski avtocesti: - zaprt prehitevalni pas za Lukovico proti Ljubljani; - oviran promet na odstavnem pasu za Blagovico proti Ljubljani. V Ljubljani na Celovški cesti je močno oviran promet v križišču pri predoru Šentvid. Ovire Na štajerski avtocesti je zaradi predmeta na vozišču in okvare vozila oviran promet med Šentjakobom in Domžalami proti Celju. Zastoji Zastoj tovornih vozil je na gorenjski avtocesti pred predorom Karavanke proti Avstriji, 2 km. Vozila so ustavljena tudi na voznem pasu. Zaradi jutranje prometne konice je promet povečan na mestnih obvoznicah in cestah, ki vodijo proti mestnim središčem. Vreme Zaradi močnega vetra skozi predor Kastelec je primorska avtocesta zaprta med priključkoma Kastelec in Kozina proti Ljubljani. Delovne zapore Ostale ceste: - Na glavni cesti Litija - Zagorje, pri Šklendrovcu so predvidene popolne zapore od ponedeljka do nedelje, 11. - 17. novembra, vsak dan med 8. in 17. uro. Več o delovnih zaporah v prometni napovedi.","Zaradi močnega vetra skozi predor Kastelec je primorska avtocesta zaprta med priključkoma Kastelec in Kozina proti Ljubljani. Zaradi okvare vozila je oviran promet na primorski avtocesti med priključkom Divača in razcepom Gabrk proti Ljubljani. Zaradi prometne nesreče je oviran promet na Celovški cesti pri izvozu iz predora Šentvid proti Medvodam. Zaradi burje je na vipavski hitri cesti med razcepom Nanos in Ajdovščino prepovedan promet za počitniške prikolice, hladilnike in vozila s ponjavami do 8 ton.","Na štajerski avtocesti proti Ljubljani je zaradi prometne nesreče oviran promet med priključkoma Lukovica in Blagovica. Nastal je zastoj, ki sega do Domžal. Na primorski avtocesti proti Ljubljani je zaradi del zaprt prehitevalni pas med priključkoma Kastelec in Kozina."
"B1: Nesreče Na glavni cesti Ptuj - Ormož je v Spuhlji promet urejen izmenično enosmerno. Oviran promet na regionalni cesti Slovenska Bistrica - Maribor, pri Bukovcu. Zastoji Občasno nastane zastoj na primorski hitri cesti skozi delovno zaporo med Bertoki in Koprom proti Izoli ter na štajerski avtocesti med Vranskim in Trojanami proti Ljubljani. Ovire Na regionalni cesti Preddvor - Sp. Jezersko - Jezerski vrh je zaradi podora kamenja pri Spodnjih Fužinah promet urejen izmenično enosmerno. Delo na cesti Zaradi sanacije nadvozov na primorski avtocesti med Vrhniko in Brezovico proti Ljubljani bosta v soboto in nedeljo, 27. in 28. 1. 2024, zaprta vozni in odstavni pas med 7. in 17. uro. V soboto, 27. 1. 2024, bo zaradi izgradnje galerije Šklendrovec zaprta cesta Litija - Zagorje od 7.30 do 17. ure. Več o delovnih zaporah v prometni napovedi.",nan,Na primorski avtocesti proti Ljubljani je zaradi del zaprt vozni pas med Vrhniko in Brezovico.
"B1: Mejni prehodi Čakalna doba je na Slovenski vasi, Obrežju, Dobovcu, Gruškovju. Vreme Prepoved za priklopnike in polpriklopnike je na hrvaški strani mejnih prehodov Petrina in Babno Polje. Prelaz Vršič je zaprt. Dela Na gorenjski avtocesti v predoru Karavanke bo v noči na sredo, od 20. do 5. ure zjutraj, promet potekal izmenično enosmerno, s čakanjem pred predorom predvidoma 30 minut.","Zaradi pokvarjenega vozila je na dolenjski avtocesti med priključkoma Šmarje Sap in Grosuplje - zahod oviran promet proti Obrežju. Na mejnem prehodu Obrežje vozniki osebnih in tovornih vozil na vstop v Slovenijo čakajo 2 uri, v Gruškovju pa pol ure.","Na mejnem prehodu Gruškovje je povečan promet osebnih vozil pri vstopu v državo, na mejnem prehodu Dobovec pa pri izstopu."
"B1: Zimske razmere Na cestah so posipne skupine. Voznikom priporočamo previdno vožnjo, upoštevajte varnostno razdaljo ter prilagodite hitrost voznim razmeram. Prepoved za priklopnike in polpriklopnike: - Na cesti Ajdovščina - Col - Črni Vrh - Godovič. - Na hrvaški strani mejnega prehoda Babno Polje. Na prelazu Korensko Sedlo na avstrijski strani so obvezne verige. Cesta čez prelaz Vršič je zaprta. Delo na cesti Predvidene popolne zapore: - Vipavska hitra cesta bo zaprta med Šempetrom in Vrtojbo v obe smeri, do nedelje do 22. ure. Obvoz bo po regionalni cesti. Na priključku Šempeter bosta zaprta uvoz proti Vrtojbi in izvoz iz smeri Vrtojbe. - Cesta Moravče - Čatež - Trebnje bo med Trnjem in Čatežem zaprta od 19. do 21. decembra. - Cesta Hrastnik - Zidani Most bo pri Zidanem Mostu zaprta v nedeljo, 18. decembra, med 7. in 17. uro. Več o delovnih zaporah v prometni napovedi. Prireditve Zaprta cesta Mokronog - Zbure v Mokronogu do 13. ure.",Zaradi prometne nesreče je na pomurski avtocesti proti Lendavi promet oviran med priključkoma Pernica in Lenart. Cesta čez prelaz Vršič je zaradi zimskih razmer zaprta. Zaradi del bo predvidoma od 7-ih zjutraj do nedelje do 22-ih zaprta vipavska hitra cesta med Šempetrom pri Gorici in Vrtojbo v obe smeri. Obvoz bo po regionalni cesti.,Na primorski avtocesti proti Ljubljani je zaradi del zaprt prehitevalni pas med priključkoma Vrhnika in Brezovica.
B1: Vreme Cesta čez prelaz Vršič je prevozna za osebna vozila z verigami. Delo na cesti Predvidene popolne zapore: - Cesta Moravče - Čatež - Trebnje bo med Trnjem in Čatežem zaprta od 19. do 21. decembra. - Cesta Hrastnik - Zidani Most v pri Zidanem Mostu bo zaprta 18. decembra med 7. in 17. uro. Več o delovnih zaporah v prometni napovedi.,Zaradi del je na primorski avtocesti med Divačo in Kozino zaprt prehitevalni pas v obe smeri. Na mejnem prehodu Gruškovje vozniki tovornih vozil na vstop v državo čakajo do 1 uro. Cesta čez prelaz Vršič je zaradi snega prevozna samo za osebna vozila z verigami.,"Na primorski avtocesti proti Kopru je zaradi del zaprt vozni pas med razcepom Srmin in priključkom Črni Kal.
<|user|>
B1: Delo na cesti Na primorski avtocesti proti Kopru je zaradi del zaprt vozni pas med razcepom Srmin in priključkom"
"B1: Nesreče Na Mariborski vzhodni obvoznici je med Malečnikom in Maribor center oviran promet proti Ljubljani. Cesta Brežice - Bizeljsko je zaprta. Obvoz po lokalnih cestah Brežice - Bukošek - Globoko. Ovire Na štajerski avtocesti je zaradi okvare vozila oviran promet med počivališčem Zima in Celjem center proti Ljubljani. Na dolenjski avtocesti je oviran promet med predoroma Debeli hrib in Mali vrh proti Ljubljani, okvara tovornega vozila. Vreme Ponekod po državi megla zmanjšuje vidljivost. Prilagodite hitrost in varnostno razdaljo. Delo na cesti V noči na petek bo predor Šentvid na gorenjski avtocesti zaprt proti Ljubljani med 20. in 5. uro. Obvoz bo po Celovški cesti. Dela na gorenjski avtocesti med Brezjami in Lescami. Cesta Most na Soči - Tolmin je v Tolminu zaprta zaradi gradnje obvoznice. Obvoz je po lokalnih cestah skozi Tolmin. Do predvidoma 23. januarja 2023 bo zaprta cesta Žaga - Kobarid, v Kobaridu. Vsakih 14 dni bo promet 3 dni urejen izmenično enosmerno. Več o delovnih zaporah, prometna napoved.",nan,Generation failed
"B1: Zastoji Promet je povečan na cestah proti večjim mestom zaradi jutranje konice. Upočasnjen promet je med drugim na dolenjski in štajerski avtocesti, iz smeri Grosuplja in Lukovice, proti Ljubljani ter na primorski avtocesti iz smeri Vrhnike proti Ljubljani. Ovire Na štajerski avtocesti je zaradi stoječih tovornih vozil oviran promet na izvozu na počivališče Lukovica iz smeri Maribora. Okvara tovornega vozila, oviran promet na primorski avtocesti pred razcepom Nanos proti Kopru. Delo na cesti Primorska avtocesta bo zaprta med Črnim Kalom in razcepom Srmin v obe smeri nocoj med 21. in 5. uro zaradi del v predoru Dekani. V času popolne zapore je obvoz urejen po regionalni cesti Črni Kal – Rižana – Dekani – Srmin. Cesta Lenart - Gornja Radgona bo med Benediktom in Zagajskim Vrhom zaprta predvidoma od 1. aprila do 31. maja 2022. Obvoz bo na relaciji Benedikt - Gornja Radgona - Apače - Trate - Lenart in obratno. Vreme Povečini Slovenije dežuje. Prilagodite hitrost in upoštevajte varnostno razdaljo!",Štajerska avtocesta proti Ljubljani je med priključkoma Celje vzhod in Celje center znova odprta. Ostaja zastoj pred priključkom Celje-vzhod. Zaradi del na primorski avtocesti v obe smeri promet pred razcepom Srmin poteka po enem voznem pasu.,Generation failed
"B1: Opozorila Danes do 22. ure velja splošna omejitev prometa tovornih vozil, katerih največja dovoljena masa presega 7,5 tone. Delo na cesti Zaprte ceste: - Cesta Cerknica - Bloška Polica bo pri Grahovem zaprta do 17. ure. - Do 19. ure bo zaprta cesta Rogatec - Dobovec. Obvoz za vozila do 3,5 tone je med mejnima prehodoma Rogatec in Dobovec po hrvaški strani, za vozila nad 3,5 tone pa po cesti Rogatec - Majšperk - Apaški Križ in naprej po lokalni cesti preko Zgornje Hajdine na avtocesto in potem naprej proti Gruškovju. - Do 14. novembra do 17. ure bo zaprta regionalna cesta Vodice - Spodnji Brnik. Obvoz je preko naselja Moste. V času prometnih konic so možni zastoji. - Glavna cesta Slovenska Bistrica - Ptuj bo do 19. novembra zaprta med Hajdino in odcepom za Cirkovce. Obvoz je urejen po avtocesti na relaciji Hajdina - Slivnica - Slovenska Bistrica sever tudi za vozila brez vinjet. Napoved del: Skozi predor Karavanke bo od ponedeljka od 14. ure, do petka, 18. novembra, do 8. ure, promet potekal izmenično enosmerno zaradi del pred predorom. Več o delovnih zaporah, prometna napoved.","Zaradi del na gorenjski avtocesti promet v obe smeri poteka samo po enem prometnem pasu med priključkom Podtabor in galerijo Moste. Proti Ljubljani je zaprt tudi priključek Brezje.
  
Na primorski avtocesti proti Ljubljani je zaradi del zaprt vozni pas med počivališčem Ravbarkomanda in priključkom Unec.",Generation failed
"B1: Delo na cesti Na gorenjski avtocesti bo predor Karavanke danes do polnoči, zaradi požarne vaje zaprt v obe smeri. Obvoz za osebna vozila bo na izvoz Hrušica in potem preko prelazov Ljubelj ali Korensko sedlo. Popolne zapore državnih cest, od srede, 19. oktobra, po 8. uri: - Cesta Postojna - Rakov Škocjan bo zaradi gradnje nadvoza čez železnico zaprta pri Ravbarkomandi do sredine avgusta 2023. - Cesta Šempeter - Dornberk bo zaradi rekonstrukcije nadvoza zaprta pri Volčji Dragi do 20. 2. 2023. - Cesta Ajdovščina - Predmeja bo zaradi asfaltiranja zaprta do sobote, 22. oktobra, do 17. ure. Na gorenjski avtocesti med Brezjami in Lescami je promet urejen dvosmerno po eni polovici avtoceste. Iz smeri Karavank proti Ljubljani je zaprt izvoz Brezje. Več. Zaprta počivališča, bencinski servis: - Na štajerski avtocesti bosta do 30. 4. 2023 zaprta počivališča Polskava in Zima proti Ljubljani. - Na gorenjski avtocesti bo do 17. 4. 2023 zaprto počivališče Povodje proti Ljubljani. - Na dolenjski avtocesti bo do 31. 10. zaprt bencinski servis Podsmreka proti Ljubljani. Več o delovnih zaporah, prometna napoved.",nan,Generation failed
