LegacyId,Datum,Operater,A1,B1,C1,A2,B2,C2,TitlePomembnoSLO,ContentPomembnoSLO,TitleNesreceSLO,ContentNesreceSLO,TitleZastojiSLO,ContentZastojiSLO,TitleVremeSLO,ContentVremeSLO,TitleOvireSLO,ContentOvireSLO,TitleDeloNaCestiSLO,ContentDeloNaCestiSLO,TitleOpozorilaSLO,ContentOpozorilaSLO,TitleMednarodneInformacijeSLO,ContentMednarodneInformacijeSLO,TitleSplosnoSLO,ContentSplosnoSLO
1288143,2022-02-09T02:36:00.000000,"DARS Igor Gregorc, GNC ",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnem prehodu Gruškovje.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, v sredo, 9. 2., med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p><p><strong>Zimske razmere</strong></p><p>Prelaz Vrši? je prevozen samo za osebna vozila z verigami. </p>",NULL,,,"<div><div><div><div><p>Traffic of heavy goods vehicles (HGV) with the maximum authorised total weight exceeding 7.5 tonnes is therefore limited today in 8th February Prešeren's Day - Day of Slovenian Culture, from 8 am to 10 pm.</p><p>Due to the increased volume of work in the Port of Koper, traffic will exceptionally be allowed for trucks destined for or from the Port of Koper.</p></div></div></div></div>",,,,,,,Zimske razmere,<p>Prelaz Vrši? je prevozen samo za osebna vozila z verigami. </p>,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, v sredo, 9. 2., med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnem prehodu Gruškovje.</p>,Tovorni promet,
1288144,2022-02-09T04:33:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnem prehodu Gruškovje.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, v sredo, 9. 2., med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p><p><strong>Zimske razmere</strong></p><p>Prelaz Vrši? je prevozen samo za osebna vozila z verigami. </p>",NULL,,,"<div><div><div><div><p>Traffic of heavy goods vehicles (HGV) with the maximum authorised total weight exceeding 7.5 tonnes is therefore limited today in 8th February Prešeren's Day - Day of Slovenian Culture, from 8 am to 10 pm.</p><p>Due to the increased volume of work in the Port of Koper, traffic will exceptionally be allowed for trucks destined for or from the Port of Koper.</p></div></div></div></div>",,,,,,,Zimske razmere,<p>Prelaz Vrši? je prevozen samo za osebna vozila z verigami. </p>,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, v sredo, 9. 2., med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnem prehodu Gruškovje.</p>,Tovorni promet,
1288145,2022-02-09T04:39:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnem prehodu Gruškovje.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p><p><strong>Zimske razmere</strong></p><p>Prelaz Vrši? je prevozen samo za osebna vozila z verigami. </p>",NULL,,,"<div><div><div><div><p>Traffic of heavy goods vehicles (HGV) with the maximum authorised total weight exceeding 7.5 tonnes is therefore limited today in 8th February Prešeren's Day - Day of Slovenian Culture, from 8 am to 10 pm.</p><p>Due to the increased volume of work in the Port of Koper, traffic will exceptionally be allowed for trucks destined for or from the Port of Koper.</p></div></div></div></div>",,,,,,,Zimske razmere,<p>Prelaz Vrši? je prevozen samo za osebna vozila z verigami. </p>,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnem prehodu Gruškovje.</p>,Tovorni promet,
1288146,2022-02-09T04:39:00.000000,"DARS Janja Budi?, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnem prehodu Gruškovje.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, v sredo, 9. 2., med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p><p><strong>Zimske razmere</strong></p><p>Prelaz Vrši? je prevozen samo za osebna vozila z verigami. </p>",NULL,,,"<div><div><div><div><p>Traffic of heavy goods vehicles (HGV) with the maximum authorised total weight exceeding 7.5 tonnes is therefore limited today in 8th February Prešeren's Day - Day of Slovenian Culture, from 8 am to 10 pm.</p><p>Due to the increased volume of work in the Port of Koper, traffic will exceptionally be allowed for trucks destined for or from the Port of Koper.</p></div></div></div></div>",,,,,,,Zimske razmere,<p>Prelaz Vrši? je prevozen samo za osebna vozila z verigami. </p>,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, v sredo, 9. 2., med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnem prehodu Gruškovje.</p>,Tovorni promet,
1288147,2022-02-09T04:44:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnem prehodu Gruškovje.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,"<div><div><div><div><p>Traffic of heavy goods vehicles (HGV) with the maximum authorised total weight exceeding 7.5 tonnes is therefore limited today in 8th February Prešeren's Day - Day of Slovenian Culture, from 8 am to 10 pm.</p><p>Due to the increased volume of work in the Port of Koper, traffic will exceptionally be allowed for trucks destined for or from the Port of Koper.</p></div></div></div></div>",,,,,,,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnem prehodu Gruškovje.</p>,Tovorni promet,
1288148,2022-02-09T04:45:00.000000,"DARS Janja Budi?, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnem prehodu Gruškovje.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnem prehodu Gruškovje.</p>,Tovorni promet,
1288149,2022-02-09T04:45:00.000000,"DARS Janja Budi?, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnem prehodu Gruškovje.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnem prehodu Gruškovje.</p>,Tovorni promet,
1288150,2022-02-09T05:17:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnem prehodu Gruškovje.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnem prehodu Gruškovje.</p>,Tovorni promet,
1288151,2022-02-09T05:23:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p>,Tovorni promet,
1288152,2022-02-09T05:24:00.000000,"DARS Bernarda Krži?nik, PIC",NULL,"<p><strong>Mejni prehodi</strong></p><p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p><p><strong>Dela</strong></p><p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",NULL,,,,,,,,,,Zimske razmere,,,,Dela,"<p>Na gorenjski avtocesti bo v predoru Karavanke, danes med 8. in 12. uro, promet potekal izmeni?no enosmerno s ?akanjem pred predorom predvidoma 30 minut.</p>",Vreme,,,<p>?akalna doba je na mejnih prehodih Gruškovje in Dobovec.</p>,Tovorni promet,
